id,rotulo,direccion,municipio,provincia,lat,lon,horario,venta
7665,CEPSA LA MARINA,"MUELLE MUELLE DEPORTIVO DE LAS PALMAS, S/N",Palmas de Gran Canaria (Las),PALMAS (LAS),28.126694,-15.425111,L-S: 08:00-16:00; D: 08:00-14:00,P
7666,MOEVE,"CALLE SHAKESPEARE, 1",Telde,PALMAS (LAS),28.009833,-15.390083,L-D: 24H,P
7667,MOEVE,"C-811, MD, PK km 2.6",Palmas de Gran Canaria (Las),PALMAS (LAS),28.086639,-15.433611,L-D: 06:00-22:00,P
7669,SHELL MERCALASPALMAS,CARRETERA CTRA. CUESTA RAMON KM. 1,Palmas de Gran Canaria (Las),PALMAS (LAS),28.040528,-15.417639,L-V: 04:00-20:00,P
7670,MOEVE,"LUGAR EXPLANADA TOMAS QUEVEDO, S/N",Palmas de Gran Canaria (Las),PALMAS (LAS),28.147361,-15.418833,L-V: 06:00-22:00; S: 07:00-15:00,P
7671,MOEVE TAHICHE I,CARRETERA C-ARRECIFE-TAHICHE KM 2 KM. 2,Teguise,PALMAS (LAS),28.988222,-13.542778,L-D: 24H,P
7672,MOEVE TAHICHE II,CARRETERA C-ARRECIFE-TAHICHE KM 2 KM. 2,Teguise,PALMAS (LAS),28.987667,-13.543806,L-D: 06:30-22:30,P
7673,REPSOL,"CARRETERA LP-114 KM. 78,50",Puntagorda,SANTA CRUZ DE TENERIFE,28.763500,-17.977750,L-D: 06:00-23:00,P
7674,CEPSA,"CR TF-172, 0,9",Sauzal (El),SANTA CRUZ DE TENERIFE,28.475944,-16.434917,L-D: 06:00-22:00,P
7675,REPSOL,"CAMINO SAN MIGUEL DE GENETO, 148",San Cristóbal de La Laguna,SANTA CRUZ DE TENERIFE,28.456083,-16.316889,L: 24H,P
7676,REPSOL,"CARRETERA TF-65 KM. 3,9",San Miguel de Abona,SANTA CRUZ DE TENERIFE,28.084444,-16.610389,L-D: 06:00-23:00,P
7677,REPSOL BARROSO,CARRETERA TF-21 AGUAMANSA KM.,Orotava (La),SANTA CRUZ DE TENERIFE,28.377028,-16.509972,L-D: 06:00-22:00,P
7678,REPSOL,CARRETERA VIEJA KM. 213,Santa Úrsula,SANTA CRUZ DE TENERIFE,28.428722,-16.484667,L-S: 06:00-23:00; D: 07:00-23:00,P
7679,REPSOL,"CALLE CL OBISPO VERDUGO, 39",Telde,PALMAS (LAS),27.992389,-15.414806,L-V: 06:00-22:00; S-D: 07:00-23:00,P
7680,REPSOL,"CALLE CASILLAS DEL ANGEL, 132",Puerto del Rosario,PALMAS (LAS),28.488333,-13.974167,L-S: 06:00-22:00,P
7681,REPSOL,"CARRETERA GARCIA ESCAMEZ 230 KM. 0,300",Arrecife,PALMAS (LAS),28.971667,-13.564528,L-D: 24H,P
7682,REPSOL,CARRETERA TF-82 KM. 8,Tanque (El),SANTA CRUZ DE TENERIFE,28.356333,-16.777139,L-D: 06:00-21:00,P
7683,REPSOL,"CARRETERA TF-5 KM. 46,3",San Juan de la Rambla,SANTA CRUZ DE TENERIFE,28.393972,-16.642333,L-V: 05:30-20:30; S-D: 08:00-20:00,P
7684,REPSOL,"CARRETERA TF-326 KM. 4,159",Realejos (Los),SANTA CRUZ DE TENERIFE,28.362694,-16.569833,L-D: 06:30-00:00,P
7685,REPSOL,"CALLE PIÑERA, SN",Realejos (Los),SANTA CRUZ DE TENERIFE,28.377083,-16.571389,L: 06:00-00:00,P
7686,REPSOL,CARRETERA GENERAL DEL NORTE KM. 13200,San Cristóbal de La Laguna,SANTA CRUZ DE TENERIFE,28.490667,-16.354500,L-D: 24H,P
7688,REPSOL,"CALLE LIBERTAD, S/N",San Cristóbal de La Laguna,SANTA CRUZ DE TENERIFE,28.464694,-16.304861,L-D: 24H,P
7689,REPSOL,CARRETERA SAN LORENZO KM. S/N,Palmas de Gran Canaria (Las),PALMAS (LAS),28.076556,-15.463889,L-D: 06:00-22:00,P
7690,REPSOL,"CARRETERA TF-16 KM. 4,4",San Cristóbal de La Laguna,SANTA CRUZ DE TENERIFE,28.510556,-16.398583,L-D: 06:00-22:00,P
7692,REPSOL,CARRETERA TF-1 KM. 54,Granadilla de Abona,SANTA CRUZ DE TENERIFE,28.073333,-16.534722,L-D: 06:00-00:00,P
7693,SPL,"CARRETERA CR LZ-40 KM 0,6(LZ-40KM1) KM. 0,6",Tías,PALMAS (LAS),28.949444,-13.616389,L-D: 06:00-23:00,P
7694,SPL,"CARRETERA CRTA. DE LAS PLAYAS KM 0,6 KM. 0,6",Tías,PALMAS (LAS),28.949722,-13.615639,L-D: 07:00-22:00,P
7695,REPSOL,"CR FV-1, 2",Puerto del Rosario,PALMAS (LAS),28.522167,-13.844694,L-D: 06:00-22:00,P
7696,CEPSA,CARRETERA GENERAL DEL SUR KM. 62,Arico,SANTA CRUZ DE TENERIFE,28.157083,-16.509667,L: 06:00-22:00,P
7699,REPSOL,CARRETERA TF-324 KM. 2,Orotava (La),SANTA CRUZ DE TENERIFE,28.379611,-16.537389,L-V: 06:00-22:00; S-D: 07:00-23:00,P
7700,REPSOL,"AUTOPISTA TF-5 KM. 22,5",Sauzal (El),SANTA CRUZ DE TENERIFE,28.464444,-16.438639,L-D: 06:00-22:00,P
7701,REPSOL,CARRETERA GENERAL KM. 194,San Cristóbal de La Laguna,SANTA CRUZ DE TENERIFE,28.518167,-16.389000,L-D: 06:00-23:00,P
7702,REPSOL,"CALLE VELAZQUEZ, 1",Telde,PALMAS (LAS),27.980583,-15.392111,L-V: 06:00-22:00; S-D: 00:00-23:59,P
